CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.01665
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.01665
CPU	 49	 0.016675
CPU	 51	 0
CPU	 53	 0
CPU	 55	 0.016675
CPU	 57	 0.01665
CPU	 59	 0
CPU	 61	 0.01665
CPU	 63	 0.016675
CPU	 65	 0.01665
CPU	 67	 0.016675
CPU	 69	 0.01665
CPU	 71	 0
CPU	 73	 0.01665
CPU	 75	 0.016675
CPU	 77	 0.016675
CPU	 79	 0
CPU	 81	 0
CPU	 83	 0.01665
CPU	 85	 0.016675
CPU	 87	 0.016675
CPU	 89	 0.01665
CPU	 91	 0.016675
CPU	 93	 0.03335
CPU	 95	 0.016675
CPU	 97	 0.01665
CPU	 99	 0.016675
IO	 0	 101.267
IO	 2	 101.317
IO	 4	 101.367
IO	 6	 101.4
IO	 8	 101.45
IO	 10	 101.5
IO	 12	 101.533
IO	 14	 101.567
IO	 16	 101.583
IO	 18	 101.633
IO	 20	 101.65
IO	 22	 101.683
IO	 24	 101.717
IO	 26	 101.733
IO	 28	 101.75
IO	 30	 101.767
IO	 32	 101.783
IO	 34	 101.8
IO	 36	 101.817
IO	 38	 101.833
IO	 40	 101.85
IO	 42	 101.85
IO	 44	 101.867
IO	 46	 101.867
IO	 48	 101.867
IO	 50	 101.867
IO	 52	 101.883
IO	 54	 101.867
IO	 56	 101.867
IO	 58	 101.867
IO	 60	 101.85
IO	 62	 101.85
IO	 64	 101.85
IO	 66	 101.817
IO	 68	 101.817
IO	 70	 101.8
IO	 72	 101.783
IO	 74	 101.75
IO	 76	 101.75
IO	 78	 101.733
IO	 80	 101.7
IO	 82	 101.667
IO	 84	 101.65
IO	 86	 101.617
IO	 88	 101.6
IO	 90	 101.567
IO	 92	 101.533
IO	 94	 101.5
IO	 96	 101.467
IO	 98	 101.417
