CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
IO	 0	 113.317
IO	 2	 113.367
IO	 4	 113.45
IO	 6	 113.5
IO	 8	 113.567
IO	 10	 113.617
IO	 12	 113.633
IO	 14	 113.683
IO	 16	 113.7
IO	 18	 113.717
IO	 20	 113.7
IO	 22	 113.7
IO	 24	 113.733
IO	 26	 113.75
IO	 28	 113.75
IO	 30	 113.767
IO	 32	 113.767
IO	 34	 113.767
IO	 36	 113.767
IO	 38	 113.767
IO	 40	 113.767
IO	 42	 113.783
IO	 44	 113.783
IO	 46	 113.783
IO	 48	 113.783
